support_ticket_id,support_ticket_desc,summarisation,response_generation,information_extraction_score,information_extraction_reasoning,field_coverage_score,field_coverage_reasoning,issue_addressal_score,issue_addressal_reasoning,resolution_clarity_score,resolution_clarity_reasoning,overall_score,overall_reasoning
1,"I cannot believe the level of service I have received. I have been a loyal ShopNest customer since 2020 and have spent thousands of dollars on this platform. I have recommended ShopNest to everyone I know - my coworkers, my neighbors, my entire book club. I have never once filed a complaint or asked for anything special. I always leave five star reviews and I tip delivery drivers generously. And THIS is how you treat your most loyal customers? I am beyond frustrated. I spent over three hours today trying to reach your support team and not a single person gave me a straight answer. Your chatbot is completely useless, your email support is nonexistent, and your phone line had a 40 minute hold time. I have screenshots of every single interaction. I will be filing a complaint with the Better Business Bureau if this is not resolved by end of day. Anyway. Order SNX-4421 for a Bosch dishwasher. Delivered wrong model. Want replacement.","The customer reported that order SNX-4421 for a Bosch dishwasher was delivered with the wrong model and is requesting a replacement. They expressed frustration over the level of service received, citing over three hours of unsuccessful attempts to contact support and threatening to file a complaint with the Better Business Bureau if not resolved by the end of the day.","Dear Customer,

I understand that your order SNX-4421 for a Bosch dishwasher was delivered with the wrong model, and I truly apologize for the frustration this has caused you. 

According to our policy, you are eligible for a free replacement in this case. We will arrange for the pickup of the incorrect item within 2 business days of your complaint being raised. Once we receive the wrong item, we will process the replacement promptly.

To proceed, please confirm if you would like the replacement and provide any additional details regarding the model you were expecting.

Thank you for your patience, and we look forward to resolving this for you.

The ShopNest Support Team",3,"The summary accurately reflects the details of the ticket, including the order number SNX-4421, the product (Bosch dishwasher), the issue (delivered wrong model), and the requested resolution (replacement).",3,"The summary includes the core problem, the order reference, the product, and the customer's requested resolution, while omitting irrelevant emotional padding.",3,"The reply addresses the specific issue of receiving the wrong model and confirms eligibility for a free replacement, which aligns with the Wrong Item / Damaged Item Policy.",2,"While the next steps are mostly clear, the request for confirmation and additional details could be seen as vague, as the customer may expect a direct replacement without needing to provide further information.",5,"This reply is safe to send as written, but it could be improved by clarifying that the replacement will be processed immediately upon pickup of the incorrect item."
2,"Ord SNX-8902 ACH debit failed at checkout, tried 2x. CC also declined. PayPal unavail for this item. Need NDD before the 15th. Card limit confirmed ok but txn still failing. Pls check PG logs and escalate. Alt PMT: can store credit from prev RMA be applied to this order? ASAP.","The customer experienced a failed ACH debit at checkout for order SNX-8902, attempting two times, with the credit card also declined and PayPal unavailable for the item. They requested next day delivery before the 15th and asked for an escalation to check payment gateway logs. Additionally, they inquired if store credit from a previous return merchandise authorization could be applied to this order.","Dear Customer,

I understand that you faced issues with a failed ACH debit at checkout for your order SNX-8902, and that your attempts to use a credit card were also unsuccessful. I appreciate your patience in this matter.

Since your payment was not confirmed, the amount should automatically reverse within 3 to 5 business days. If you do not see the reversal by then, please provide the transaction reference number so we can investigate further.

Regarding the application of store credit from a previous return, I recommend checking with our team directly as they can assist you with that request. Unfortunately, I cannot escalate the payment gateway logs, but I assure you that we will address your concerns promptly.

Thank you for your understanding, and please let us know if you need any further assistance.

The ShopNest Support Team",3,"Every statement in the summary is supported by the ticket, including the order number SNX-8902, the failed ACH debit, the declined credit card, and the request for next day delivery before the 15th.",3,"The summary includes the core problem (failed payment methods), the order reference, the product issue (PayPal unavailable), and the customer's requested resolution (next day delivery and inquiry about store credit), without any irrelevant material.",2,"The reply addresses the payment failure issue and correctly states that the amount should automatically reverse within 3 to 5 business days, which aligns with the Payment Failure Policy. However, it does not address the customer's request for escalation to check payment gateway logs, which leaves part of the customer's request unanswered.",2,"The next steps regarding the payment reversal are clear, but the response lacks clarity on how the customer can apply store credit and does not specify who they should contact for that, making the resolution somewhat vague.",4,"This reply is mostly safe to send, but it must include a clear direction on how the customer can apply their store credit."
3,not working. please help.,"The ticket lacks specific details about the problem, including any order reference, product information, or explicit request from the customer. Further information is needed to address the issue.","Dear Customer,

Thank you for reaching out to us. We noticed that your ticket does not include specific details about the issue you are experiencing, such as your order reference or product information. To assist you better, could you please provide us with the following:

1. Your order reference number.
2. A description of the problem you are facing.
3. Any relevant product information.

Once we have this information, we will be able to address your concern promptly. 

Looking forward to your response.

The ShopNest Support Team",1,"The summary contains inaccuracies as it states the ticket lacks specific details, which is not true; the ticket clearly states the problem as 'not working' and requests help.",1,"The summary omits the core problem of the ticket, which is the customer's issue of something 'not working' and their request for help, making it unhelpful for an agent.",3,"The reply correctly identifies that the ticket lacks specific details and requests the necessary information to address the issue, aligning with the need for further information as stated in the summary.",3,"The next steps are clear, as the customer is explicitly asked to provide their order reference number, a description of the problem, and relevant product information, ensuring a professional and warm tone.",6,"This reply is safe to send to a real customer as written, as it effectively addresses the issue and provides clear next steps."
4,"Okay so I have genuinely had it with this company. Every single time I place an order something goes wrong. Last month it was a delayed delivery. The month before that it was a damaged product. Before that it was a wrong item sent. I have contacted support so many times I have lost count. Every single time I am told the issue will be resolved within 24 to 48 hours and it never is. I sit and wait and absolutely nothing happens. Then I have to follow up again and I get another sorry for the inconvenience. Sorry does not fix anything. I work full time and I do not have the bandwidth to keep chasing a company for basic service delivery. My colleagues have been telling me to switch platforms and honestly I am starting to think they are right. Order #SNX-9021, KitchenAid stand mixer, payment charged twice for the same order. Need one charge reversed immediately.","The customer reported an issue with order #SNX-9021 for a KitchenAid stand mixer, stating that they were charged twice for the same order and requested an immediate reversal of one charge. They expressed frustration over repeated problems with previous orders, including delayed delivery, damaged products, and incorrect items sent, and mentioned having contacted support multiple times without resolution.","Dear Customer,

I understand that you have been charged twice for your order #SNX-9021 for a KitchenAid stand mixer, and I can imagine how frustrating this situation must be for you, especially given your previous experiences with delayed deliveries and incorrect items.

Regarding the double charge, if the payment has been deducted but the order is not confirmed, the amount will be automatically reversed within 3 to 5 business days. If you do not see the reversal after this period, please provide the transaction reference number so we can investigate further.

I appreciate your patience as we work to resolve this issue. Please let me know if you have any further questions or if there's anything else I can assist you with.

The ShopNest Support Team",3,"The summary accurately reflects the details of the ticket, including the order number #SNX-9021, the product (KitchenAid stand mixer), and the issue of being charged twice, along with the request for an immediate reversal.",3,"The summary includes the core problem (double charge), the order reference, the product, and the customer's requested resolution, while omitting irrelevant emotional padding.",3,"The reply addresses the specific issue of the double charge for order #SNX-9021 and correctly states that the amount will be automatically reversed within 3 to 5 business days, in line with the Payment Failure Policy.",3,"The next steps are clear: the customer is informed about the automatic reversal timeframe and what to do if it does not occur, which provides a warm and professional tone appropriate to the customer's frustration.",6,"This reply is safe to send as written, as it fully adheres to the policies and provides clear guidance to the customer."
5,refund not received,The customer has not received a refund. No order reference or transaction reference was provided. The customer is explicitly asking for the refund that they have not received.,"Dear Customer,

I understand that you have not received your refund, and I appreciate your patience regarding this matter. However, I noticed that you haven't provided an order reference or transaction reference, which are necessary for us to investigate this issue further.

To assist you effectively, could you please provide the following details:
1. Your order reference number (if available).
2. The transaction reference number related to the payment.
3. The date of the transaction.

Once we have this information, we can look into your refund request and resolve it as quickly as possible. 

Thank you for your cooperation, and I look forward to hearing from you soon.

The ShopNest Support Team",3,"The summary accurately reflects the ticket's content, stating that the customer has not received a refund, which is true to the original ticket.",2,"While the summary captures the core problem and the customer's request for a refund, it omits the lack of an order or transaction reference, which is a relevant detail that could assist the agent.",2,"The reply addresses the issue of the refund not being received, but it does not provide any specific information about the refund process or timeframes, which is necessary for full compliance with the policies.",2,"The next steps are somewhat clear, as the customer is asked to provide specific information, but the tone is a bit flat and does not convey urgency or empathy regarding the customer's situation.",4,"This reply is partially safe to send, but it needs to include specific information about the refund process to fully comply with ShopNest policies."
6,"Hi. I placed an order for a laptop. It is a Dell. I ordered it last Monday I think or maybe Tuesday. The order number is in my email somewhere - I believe it is SNX-3310 or maybe SNX-3130, I am not completely sure. Delivery came two days later which I thought was great. But when I opened the box the laptop would not turn on at all. I tried charging it for over an hour. Nothing. I tried a different charger I had at home. Still nothing. My roommate who works in IT also took a look and said it sounds like a hardware defect straight out of the box. The outer box also had a small dent on one corner but I am not sure if that is relevant. I want to return it and get a replacement. Or maybe a refund. I am honestly not sure which option makes more sense for me. Can someone advise? Also is there a home pickup option because I do not have easy access to a drop off location.","The customer ordered a Dell laptop, with an uncertain order reference of either SNX-3310 or SNX-3130, last Monday or Tuesday. The delivery occurred two days later, but the laptop would not turn on despite attempts to charge it and using a different charger. The customer wants to return the laptop for a replacement or a refund and inquires about a home pickup option for the return.","Dear Customer,

Thank you for reaching out regarding the Dell laptop you received. I understand that the laptop is not turning on despite your attempts to charge it. This situation falls under our policy for damaged items, and you are eligible for a full refund or a replacement.

We will arrange for a pickup of the laptop within 2 business days. To proceed, could you please confirm the order reference number (either SNX-3310 or SNX-3130) and provide any photographic evidence of the issue? This will help us expedite the process.

Once we receive the laptop and verify the issue, the refund or replacement will be processed promptly.

Thank you for your patience, and we look forward to resolving this for you.

The ShopNest Support Team",2,"The summary accurately reflects the customer's order of a Dell laptop and the uncertainty regarding the order number, but it does not mention the small dent on the outer box, which is a detail from the ticket.",3,"The summary includes the core problem of the laptop not turning on, the customer's request for a return or replacement/refund, and the inquiry about home pickup, all of which are necessary for an agent to act.",3,"The reply addresses the specific issue of the damaged laptop and correctly states that the customer is eligible for a full refund or replacement, in line with the Wrong Item / Damaged Item Policy.",3,"The next steps are clear: the customer needs to confirm the order reference and provide photographic evidence, and the pickup will be arranged within 2 business days, which is unambiguous and professional.",6,"This reply is safe to send to a real customer as written, as it fully adheres to the policies and provides clear next steps."
7,ORDER SNX-6612 DELIVERED WRONG ITEM. I ORDERED NIKE RUNNING SHOES SIZE 11 AND THEY SENT SOME RANDOM SANDAL I HAVE NEVER EVEN HEARD OF. THIS IS THE THIRD WRONG ITEM THIS MONTH. I WANT MY SHOES OR A FULL REFUND. ALSO WHY IS THERE NO DIRECT PHONE NUMBER - YOUR CHATBOT IS COMPLETELY USELESS AND I AM DONE WITH IT.,"The customer reported that their order SNX-6612 was delivered with the wrong item, receiving a random sandal instead of the Nike running shoes size 11 they ordered. This is the third wrong item they have received this month. The customer is requesting either their correct shoes or a full refund.","Dear Customer,

Thank you for reaching out to us regarding your order SNX-6612. I understand that you received a random sandal instead of the Nike running shoes size 11 that you ordered. I apologize for the inconvenience this has caused, especially since this is the third wrong item you've received this month.

As per our policy, you are eligible for a free replacement or a full refund for the wrong item delivered. We will arrange for the pickup of the incorrect item within 2 business days. Once the item is picked up and verified, we will process your replacement or refund.

Please let us know if you prefer a replacement or a refund, and we will take care of it promptly.

Thank you for your patience, and we look forward to resolving this for you.

The ShopNest Support Team",3,"Every statement in the summary is supported by the ticket, including the order number SNX-6612, the wrong item received (random sandal), and the correct item ordered (Nike running shoes size 11).",3,"The summary includes the core problem (wrong item delivered), the order reference (SNX-6612), the product (Nike running shoes size 11), and the customer's requested resolution (either the correct shoes or a full refund).",3,"The reply addresses the specific issue of receiving the wrong item and correctly states that the customer is eligible for a free replacement or a full refund, in line with the Wrong Item / Damaged Item Policy.",3,"The next steps are clear: the customer can choose between a replacement or a refund, and the pickup will be arranged within 2 business days, which is unambiguous and professionally stated.",6,"This reply is safe to send as written, as it fully adheres to the policies and provides clear next steps for the customer."
8,"Hello, good morning. I hope this message finds you well. I am reaching out today regarding a small matter pertaining to a recent order of mine. I do not wish to be a burden and I fully understand how busy your team must be. I simply wanted to follow up when you have a free moment as I have been waiting for a little while now. I appreciate everything your team does and I am grateful for your time. Warm regards.",The customer is following up on a recent order but does not provide an order reference or details about the specific issue. They mention waiting for a response for a while and express appreciation for the team's efforts.,"Dear Customer,

Thank you for reaching out and for your appreciation of our team's efforts. I understand that you are following up on your recent order, but I noticed that you haven't provided an order reference or specific details about the issue you are experiencing. 

To assist you better, could you please share the order reference number and describe the specific problem you are facing? This information will help us address your concerns more effectively.

Looking forward to your response.

The ShopNest Support Team",2,"The summary accurately states that the customer is following up on a recent order and mentions waiting for a response, but it fails to include specific details about the order or the issue, which are not provided in the ticket.",2,"The summary captures the core problem of following up on an order and the customer's appreciation, but it omits the specific issue related to the order, which is a necessary element for an agent to act.",2,"The reply addresses the customer's follow-up but does not provide any specific information or resolution regarding their order, as it asks for the order reference number and details about the issue instead of addressing a specific problem.",3,"The next step is clear; the customer is asked to provide their order reference number and details about the issue, which is a logical and appropriate request given the lack of information in the original ticket.",5,"This response is safe to send as written, as it clearly requests the necessary information to assist the customer further."
9,"hey so my package still hasnt shown up, its been like a week maybe more? the app says delivered but nothing came. checked with my neighbor and they didnt see anything either. pretty annoyed honestly. can someone look into this and either resend or refund me thanks","The customer reported that their package has not arrived, despite the app indicating it was delivered. They have waited over a week and checked with their neighbor, who also did not receive it. The customer is requesting an investigation and either a resend or a refund.","Dear Customer,

I understand that your package has not arrived, even though our app indicates it was delivered. I can see that you have been waiting for over a week and have checked with your neighbor without success.

Since your order has been delayed beyond the promised delivery date, you are eligible for a full refund without needing to return the item. We will initiate the refund process, which will be completed within 5 to 7 business days after verification.

Please confirm if you would like to proceed with the refund, or if you prefer a resend of the item. Your prompt response will help us resolve this matter quickly.

Thank you for your patience, and we look forward to your reply.

The ShopNest Support Team",3,"Every statement in the summary is supported by the ticket, including the details about the package not arriving, the app indicating it was delivered, and the customer's request for a resend or refund.",3,"The summary includes the core problem of the package not arriving, the customer's request for an investigation, and the options of a resend or refund, without any irrelevant material.",3,"The reply addresses the specific issue of the delayed package and correctly states that the customer is eligible for a full refund without needing to return the item, in accordance with the Delivery Delay Compensation Policy.",3,"The next steps are clear, as the customer is asked to confirm whether they would like to proceed with the refund or prefer a resend of the item, and the tone is warm and professional.",6,"This reply is safe to send to a real customer as written, as it fully adheres to the policies and provides clear next steps."
10,"I want to be very clear about how disappointed I am with this entire experience. Two full weeks. Two weeks and I have received nothing but conflicting information and broken promises. I have called four separate times. Each agent told me something completely different. First it was a warehouse backlog. Then it was a carrier issue. Then I was told my address was incomplete - which is absolutely false because I have received over a dozen previous orders at this exact address without any issue whatsoever. I even emailed a screenshot of my confirmed address and was still told it was incorrect. The level of disorganization here is genuinely shocking. I have already contacted my state's consumer protection office and I am keeping a full record of every interaction. Order SNX-2201, Bose noise cancelling headphones, still not delivered after 14 days. Tracking has been frozen since day three.","The customer reported that their order SNX-2201 for Bose noise cancelling headphones has not been delivered after 14 days. They have contacted support four times and received conflicting information regarding the delay, including claims of a warehouse backlog, carrier issues, and an incorrect address, which the customer disputes. They have also noted that tracking has been frozen since day three.","Dear Customer,

I understand that your order SNX-2201 for the Bose noise cancelling headphones has not been delivered after 14 days, and you have received conflicting information regarding the delay. I apologize for the inconvenience this has caused.

Since your order has been delayed beyond 7 days, you are eligible to request a full refund without needing to return the item. Please confirm if you would like to proceed with the refund, and I will initiate the process for you.

Thank you for your patience, and I look forward to your response.

The ShopNest Support Team",3,"Every statement in the summary is supported by the ticket, including the order number SNX-2201, the product (Bose noise cancelling headphones), and the details about the delivery delay and conflicting information received from support.",3,"The summary includes the core problem (order not delivered), the order reference, the product, and the customer's experience with support, all of which are necessary for an agent to act.",3,"The reply correctly addresses the issue of the delayed order SNX-2201 and states that the customer is eligible for a full refund without needing to return the item, which aligns with the Delivery Delay Compensation Policy.",3,"The next step is clear: the customer needs to confirm if they would like to proceed with the refund, and the tone is warm and professional.",6,"This response is safe to send as written, as it accurately reflects the policies and provides a clear next step for the customer."
